Participant,x,y,x0,y0,CalPoint
7,250,220,931,666,1
7,250,220,922,675,1
7,250,220,916,667,1
7,250,220,910,673,1
7,250,220,909,662,1
7,250,220,919,664,1
7,250,220,913,676,1
7,250,220,922,663,1
7,250,220,494,302,1
7,250,220,498,312,1
7,250,220,496,309,1
7,250,220,499,316,1
7,250,220,497,302,1
7,250,220,483,304,1
7,250,220,494,315,1
7,250,220,476,236,1
7,250,220,461,236,1
7,250,220,473,244,1
7,250,220,472,252,1
7,250,220,444,220,1
7,250,220,437,217,1
7,250,220,444,231,1
7,250,220,451,227,1
7,250,220,449,236,1
7,250,220,443,227,1
7,250,220,483,295,1
7,250,220,420,244,1
7,250,220,442,226,1
7,250,220,443,237,1
7,250,220,441,247,1
7,250,220,443,231,1
7,250,220,435,235,1
7,250,220,439,235,1
7,250,220,442,237,1
7,250,220,437,243,1
7,250,220,440,249,1
7,250,220,442,240,1
7,250,220,443,235,1
7,250,220,436,249,1
7,250,220,454,233,1
7,250,220,448,235,1
7,250,220,445,238,1
7,250,220,442,228,1
7,250,220,437,236,1
7,250,220,435,238,1
7,250,220,435,238,1
7,250,220,435,240,1
7,250,220,437,237,1
7,250,220,435,240,1
7,250,220,432,243,1
7,250,220,438,235,1
7,250,220,437,233,1
7,250,220,437,231,1
7,250,220,444,233,1
7,250,220,441,232,1
7,250,220,440,219,1
7,250,220,440,234,1
7,250,220,444,235,1
7,250,220,442,243,1
7,250,220,452,225,1
7,250,220,453,234,1
7,250,220,445,235,1
7,250,220,453,234,1
7,250,220,447,226,1
7,250,220,440,226,1
7,250,220,431,223,1
7,250,220,438,227,1
7,250,220,439,244,1
7,250,220,446,235,1
7,250,220,449,230,1
7,250,220,453,237,1
7,250,220,446,233,1
7,250,220,451,242,1
7,250,220,451,236,1
7,250,220,448,232,1
7,250,220,442,243,1
7,250,220,439,232,1
7,250,220,448,230,1
7,250,220,446,232,1
7,250,220,452,234,1
7,250,220,443,245,1
7,250,220,447,251,1
7,250,220,447,244,1
7,250,220,438,246,1
7,250,220,450,234,1
7,250,220,445,248,1
7,250,220,444,232,1
7,250,220,436,240,1
7,250,220,437,236,1
7,250,220,445,233,1
7,250,220,446,241,1
7,250,220,434,246,1
7,250,220,436,238,1
7,250,220,445,246,1
7,250,220,445,241,1
7,250,220,451,248,1
7,250,220,446,241,1
7,250,220,437,235,1
7,250,220,447,236,1
7,250,220,430,246,1
7,250,220,442,239,1
7,250,220,436,251,1
7,250,220,443,249,1
7,250,220,444,247,1
7,250,220,429,243,1
7,250,220,435,249,1
7,250,220,434,251,1
7,250,220,436,250,1
7,250,220,440,255,1
7,250,220,444,250,1
7,250,220,435,241,1
7,250,220,438,243,1
7,250,220,435,255,1
7,250,220,440,248,1
7,250,220,442,246,1
7,250,220,441,249,1
7,250,220,444,250,1
7,250,220,447,244,1
7,250,220,452,248,1
7,250,220,448,259,1
7,250,220,443,255,1
7,250,220,446,262,1
7,250,220,447,255,1
7,250,220,440,245,1
7,250,220,435,251,1
7,250,220,441,250,1
7,250,220,442,263,1
7,250,220,435,253,1
7,250,220,433,258,1
7,250,220,431,253,1
7,250,220,433,257,1
7,250,220,437,261,1
7,250,220,429,266,1
7,250,220,436,253,1
7,250,220,429,262,1
7,250,220,430,259,1
7,250,220,438,264,1
7,250,220,440,266,1
7,250,220,433,261,1
7,250,220,441,264,1
7,250,220,442,259,1
7,250,220,427,263,1
7,250,220,431,266,1
7,250,220,435,269,1
7,250,220,439,260,1
7,250,220,442,266,1
7,250,220,438,260,1
7,250,220,434,255,1
7,250,220,434,240,1
7,250,220,431,256,1
7,250,220,433,245,1
7,250,220,437,245,1
7,250,220,438,255,1
7,250,220,434,256,1
7,250,220,437,241,1
7,250,220,429,239,1
7,250,220,431,244,1
7,250,220,423,246,1
7,250,220,423,256,1
7,250,220,429,247,1
7,250,220,434,259,1
7,250,220,429,249,1
7,250,220,435,253,1
7,250,220,439,242,1
7,250,220,426,240,1
7,250,220,430,254,1
7,250,220,435,258,1
7,250,220,429,258,1
7,250,220,431,256,1
7,250,220,435,241,1
7,250,220,439,245,1
7,250,220,436,252,1
7,250,220,436,251,1
7,250,220,438,246,1
7,250,220,436,255,1
7,250,220,443,261,1
7,250,525,434,241,4
7,250,525,440,242,4
7,250,525,434,243,4
7,250,525,439,243,4
7,250,525,435,252,4
7,250,525,437,248,4
7,250,525,443,254,4
7,250,525,437,244,4
7,250,525,444,251,4
7,250,525,446,254,4
7,250,525,444,257,4
7,250,525,439,248,4
7,250,525,449,251,4
7,250,525,434,420,4
7,250,525,427,432,4
7,250,525,432,434,4
7,250,525,425,439,4
7,250,525,439,533,4
7,250,525,428,525,4
7,250,525,425,535,4
7,250,525,428,527,4
7,250,525,428,532,4
7,250,525,417,529,4
7,250,525,416,529,4
7,250,525,419,535,4
7,250,525,426,546,4
7,250,525,428,539,4
7,250,525,439,537,4
7,250,525,430,545,4
7,250,525,424,543,4
7,250,525,428,538,4
7,250,525,437,553,4
7,250,525,449,507,4
7,250,525,458,543,4
7,250,525,425,538,4
7,250,525,430,540,4
7,250,525,431,543,4
7,250,525,432,543,4
7,250,525,428,550,4
7,250,525,432,534,4
7,250,525,436,547,4
7,250,525,439,543,4
7,250,525,424,543,4
7,250,525,422,552,4
7,250,525,429,535,4
7,250,525,424,540,4
7,250,525,430,536,4
7,250,525,433,537,4
7,250,525,439,539,4
7,250,525,436,542,4
7,250,525,426,541,4
7,250,525,423,539,4
7,250,525,430,538,4
7,250,525,432,547,4
7,250,525,430,543,4
7,250,525,433,539,4
7,250,525,434,535,4
7,250,525,433,538,4
7,250,525,435,548,4
7,250,525,428,528,4
7,250,525,429,537,4
7,250,525,424,549,4
7,250,525,434,531,4
7,250,525,432,543,4
7,250,525,432,541,4
7,250,525,425,537,4
7,250,525,424,535,4
7,250,525,421,532,4
7,250,525,421,538,4
7,250,525,422,540,4
7,250,525,434,536,4
7,250,525,428,531,4
7,250,525,431,536,4
7,250,525,429,545,4
7,250,525,429,540,4
7,250,525,417,539,4
7,250,525,414,543,4
7,250,525,419,531,4
7,250,525,423,541,4
7,250,525,422,540,4
7,250,525,426,526,4
7,250,525,427,547,4
7,250,525,429,533,4
7,250,525,429,542,4
7,250,525,438,542,4
7,250,525,425,528,4
7,250,525,424,533,4
7,250,525,423,538,4
7,250,525,427,535,4
7,250,525,432,534,4
7,250,525,430,539,4
7,250,525,432,534,4
7,250,525,425,535,4
7,250,525,432,544,4
7,250,525,424,538,4
7,250,525,434,539,4
7,250,525,427,528,4
7,250,525,433,537,4
7,250,525,428,528,4
7,250,525,427,527,4
7,250,525,439,530,4
7,250,525,424,528,4
7,250,525,425,524,4
7,250,525,436,534,4
7,250,525,438,546,4
7,250,525,440,533,4
7,250,525,443,539,4
7,250,525,433,534,4
7,250,525,434,537,4
7,250,525,439,535,4
7,250,525,437,542,4
7,250,525,436,535,4
7,250,525,435,542,4
7,250,525,439,529,4
7,250,525,430,531,4
7,250,525,425,533,4
7,250,525,427,534,4
7,250,525,423,537,4
7,250,525,429,533,4
7,250,525,427,537,4
7,250,525,427,538,4
7,250,525,438,537,4
7,250,525,424,527,4
7,250,525,429,541,4
7,250,525,423,548,4
7,250,525,429,537,4
7,250,525,415,536,4
7,250,525,422,554,4
7,250,525,427,536,4
7,250,525,419,538,4
7,250,525,427,547,4
7,250,525,423,534,4
7,250,525,419,537,4
7,250,525,415,533,4
7,250,525,418,533,4
7,250,525,422,544,4
7,250,525,424,536,4
7,250,525,429,543,4
7,250,525,431,534,4
7,250,525,428,544,4
7,250,525,424,545,4
7,250,525,421,540,4
7,250,525,415,543,4
7,250,525,423,535,4
7,250,525,431,536,4
7,250,525,427,554,4
7,250,525,422,552,4
7,250,525,423,538,4
7,250,525,414,546,4
7,250,525,417,549,4
7,250,525,426,548,4
7,250,525,422,540,4
7,250,525,424,544,4
7,250,525,427,551,4
7,250,525,426,550,4
7,250,525,420,547,4
7,250,525,421,555,4
7,250,525,428,545,4
7,250,525,428,553,4
7,250,525,428,543,4
7,250,525,425,546,4
7,250,525,432,548,4
7,250,525,422,551,4
7,250,525,425,554,4
7,250,525,435,546,4
7,250,525,424,552,4
7,250,525,422,547,4
7,250,525,416,555,4
7,250,525,422,539,4
7,250,525,425,539,4
7,250,525,424,549,4
7,250,525,414,539,4
7,250,525,415,551,4
7,250,525,421,542,4
7,250,525,423,548,4
7,250,525,419,527,4
7,250,830,418,538,7
7,250,830,422,549,7
7,250,830,422,542,7
7,250,830,428,549,7
7,250,830,426,540,7
7,250,830,424,547,7
7,250,830,432,535,7
7,250,830,429,545,7
7,250,830,429,542,7
7,250,830,427,553,7
7,250,830,425,547,7
7,250,830,427,537,7
7,250,830,429,531,7
7,250,830,445,840,7
7,250,830,440,840,7
7,250,830,445,838,7
7,250,830,445,849,7
7,250,830,442,844,7
7,250,830,433,840,7
7,250,830,438,848,7
7,250,830,428,909,7
7,250,830,405,911,7
7,250,830,403,899,7
7,250,830,405,912,7
7,250,830,407,901,7
7,250,830,421,902,7
7,250,830,404,910,7
7,250,830,440,868,7
7,250,830,441,870,7
7,250,830,404,854,7
7,250,830,441,872,7
7,250,830,437,873,7
7,250,830,446,874,7
7,250,830,441,868,7
7,250,830,452,879,7
7,250,830,443,876,7
7,250,830,441,868,7
7,250,830,443,885,7
7,250,830,441,888,7
7,250,830,436,874,7
7,250,830,433,874,7
7,250,830,438,881,7
7,250,830,428,877,7
7,250,830,424,876,7
7,250,830,422,873,7
7,250,830,428,865,7
7,250,830,430,881,7
7,250,830,424,880,7
7,250,830,435,870,7
7,250,830,423,875,7
7,250,830,429,874,7
7,250,830,423,871,7
7,250,830,419,886,7
7,250,830,418,866,7
7,250,830,421,886,7
7,250,830,419,886,7
7,250,830,419,879,7
7,250,830,422,883,7
7,250,830,417,889,7
7,250,830,412,874,7
7,250,830,417,855,7
7,250,830,405,859,7
7,250,830,418,859,7
7,250,830,415,848,7
7,250,830,415,854,7
7,250,830,416,850,7
7,250,830,419,863,7
7,250,830,413,849,7
7,250,830,408,852,7
7,250,830,408,853,7
7,250,830,406,848,7
7,250,830,402,851,7
7,250,830,403,854,7
7,250,830,403,856,7
7,250,830,399,853,7
7,250,830,403,848,7
7,250,830,401,853,7
7,250,830,403,848,7
7,250,830,406,852,7
7,250,830,393,841,7
7,250,830,398,833,7
7,250,830,409,844,7
7,250,830,410,839,7
7,250,830,406,826,7
7,250,830,398,833,7
7,250,830,407,850,7
7,250,830,396,840,7
7,250,830,402,845,7
7,250,830,403,848,7
7,250,830,408,850,7
7,250,830,408,838,7
7,250,830,404,856,7
7,250,830,402,844,7
7,250,830,409,851,7
7,250,830,400,849,7
7,250,830,400,853,7
7,250,830,399,855,7
7,250,830,400,846,7
7,250,830,411,846,7
7,250,830,403,860,7
7,250,830,400,843,7
7,250,830,405,845,7
7,250,830,401,840,7
7,250,830,397,854,7
7,250,830,402,846,7
7,250,830,406,851,7
7,250,830,405,834,7
7,250,830,393,845,7
7,250,830,401,852,7
7,250,830,404,836,7
7,250,830,393,834,7
7,250,830,399,837,7
7,250,830,392,836,7
7,250,830,395,838,7
7,250,830,392,843,7
7,250,830,397,860,7
7,250,830,400,848,7
7,250,830,399,836,7
7,250,830,400,856,7
7,250,830,396,859,7
7,250,830,396,842,7
7,250,830,402,852,7
7,250,830,401,832,7
7,250,830,394,837,7
7,250,830,405,836,7
7,250,830,396,834,7
7,250,830,399,831,7
7,250,830,399,827,7
7,250,830,406,838,7
7,250,830,399,835,7
7,250,830,396,845,7
7,250,830,402,832,7
7,250,830,404,827,7
7,250,830,411,832,7
7,250,830,405,836,7
7,250,830,407,840,7
7,250,830,403,829,7
7,250,830,399,830,7
7,250,830,403,840,7
7,250,830,408,853,7
7,250,830,401,833,7
7,250,830,404,831,7
7,250,830,396,832,7
7,250,830,408,828,7
7,250,830,397,834,7
7,250,830,400,830,7
7,250,830,394,829,7
7,250,830,402,823,7
7,250,830,398,843,7
7,250,830,395,828,7
7,250,830,402,834,7
7,250,830,396,837,7
7,250,830,402,837,7
7,250,830,398,837,7
7,250,830,395,839,7
7,250,830,391,832,7
7,250,830,397,840,7
7,250,830,403,830,7
7,250,830,409,819,7
7,250,830,404,829,7
7,250,830,411,813,7
7,250,830,400,818,7
7,250,830,414,815,7
7,250,830,399,821,7
7,250,830,411,802,7
7,250,830,406,824,7
7,250,830,404,812,7
7,250,830,402,814,7
7,640,220,420,847,2
7,640,220,417,846,2
7,640,220,431,846,2
7,640,220,427,838,2
7,640,220,425,834,2
7,640,220,424,839,2
7,640,220,423,836,2
7,640,220,428,838,2
7,640,220,427,834,2
7,640,220,430,840,2
7,640,220,429,835,2
7,640,220,434,838,2
7,640,220,436,836,2
7,640,220,855,217,2
7,640,220,853,222,2
7,640,220,850,218,2
7,640,220,851,229,2
7,640,220,855,221,2
7,640,220,860,220,2
7,640,220,857,228,2
7,640,220,854,228,2
7,640,220,854,217,2
7,640,220,856,225,2
7,640,220,855,228,2
7,640,220,853,231,2
7,640,220,856,228,2
7,640,220,854,222,2
7,640,220,850,228,2
7,640,220,855,242,2
7,640,220,851,235,2
7,640,220,853,233,2
7,640,220,859,227,2
7,640,220,856,238,2
7,640,220,853,235,2
7,640,220,851,244,2
7,640,220,857,234,2
7,640,220,858,240,2
7,640,220,851,245,2
7,640,220,850,243,2
7,640,220,852,241,2
7,640,220,853,254,2
7,640,220,858,247,2
7,640,220,854,241,2
7,640,220,859,245,2
7,640,220,859,244,2
7,640,220,862,253,2
7,640,220,858,251,2
7,640,220,861,251,2
7,640,220,858,247,2
7,640,220,865,247,2
7,640,220,855,256,2
7,640,220,857,261,2
7,640,220,860,254,2
7,640,220,859,259,2
7,640,220,860,247,2
7,640,220,854,263,2
7,640,220,856,251,2
7,640,220,861,254,2
7,640,220,862,260,2
7,640,220,859,263,2
7,640,220,860,262,2
7,640,220,865,260,2
7,640,220,862,262,2
7,640,220,866,266,2
7,640,220,869,253,2
7,640,220,863,257,2
7,640,220,863,253,2
7,640,220,861,275,2
7,640,220,865,263,2
7,640,220,858,271,2
7,640,220,857,257,2
7,640,220,863,261,2
7,640,220,864,259,2
7,640,220,861,264,2
7,640,220,857,263,2
7,640,220,851,265,2
7,640,220,851,266,2
7,640,220,852,271,2
7,640,220,857,269,2
7,640,220,856,270,2
7,640,220,855,269,2
7,640,220,860,269,2
7,640,220,860,266,2
