Model	mdlname	Par
1	'[x^3, 1]'	2
2	'[y^3, 1]'	2
3	'[x^2, 1]'	2
4	'[y^2, 1]'	2
5	'[x, 1]'	2
6	'[y, 1]'	2
7	'[x*y, 1]'	2
8	'[x^2*y^2, 1]'	2
9	'[x^3*y^3, 1]'	2
10	'[x^2*y, 1]'	2
11	'[x^3*y, 1]'	2
12	'[x*y^2, 1]'	2
13	'[x*y^3, 1]'	2
14	'[x^2*y^3, 1]'	2
15	'[x^3*y^2, 1]'	2
16	'[x^3, y^3, 1]'	3
17	'[x^3, x^2, 1]'	3
18	'[y^3, x^2, 1]'	3
19	'[x^3, y^2, 1]'	3
20	'[y^3, y^2, 1]'	3
21	'[x^2, y^2, 1]'	3
22	'[x^3, x, 1]'	3
23	'[y^3, x, 1]'	3
24	'[x^2, x, 1]'	3
25	'[y^2, x, 1]'	3
26	'[x^3, y, 1]'	3
27	'[y^3, y, 1]'	3
28	'[x^2, y, 1]'	3
29	'[y^2, y, 1]'	3
30	'[x, y, 1]'	3
31	'[x^3, x*y, 1]'	3
32	'[y^3, x*y, 1]'	3
33	'[x^2, x*y, 1]'	3
34	'[y^2, x*y, 1]'	3
35	'[x, x*y, 1]'	3
36	'[y, x*y, 1]'	3
37	'[x^3, x^2*y^2, 1]'	3
38	'[y^3, x^2*y^2, 1]'	3
39	'[x^2, x^2*y^2, 1]'	3
40	'[y^2, x^2*y^2, 1]'	3
41	'[x, x^2*y^2, 1]'	3
42	'[y, x^2*y^2, 1]'	3
43	'[x*y, x^2*y^2, 1]'	3
44	'[x^3, x^3*y^3, 1]'	3
45	'[y^3, x^3*y^3, 1]'	3
46	'[x^2, x^3*y^3, 1]'	3
47	'[y^2, x^3*y^3, 1]'	3
48	'[x, x^3*y^3, 1]'	3
49	'[y, x^3*y^3, 1]'	3
50	'[x*y, x^3*y^3, 1]'	3
51	'[x^2*y^2, x^3*y^3, 1]'	3
52	'[x^3, x^2*y, 1]'	3
53	'[y^3, x^2*y, 1]'	3
54	'[x^2, x^2*y, 1]'	3
55	'[y^2, x^2*y, 1]'	3
56	'[x, x^2*y, 1]'	3
57	'[y, x^2*y, 1]'	3
58	'[x*y, x^2*y, 1]'	3
59	'[x^2*y^2, x^2*y, 1]'	3
60	'[x^3*y^3, x^2*y, 1]'	3
61	'[x^3, x^3*y, 1]'	3
62	'[y^3, x^3*y, 1]'	3
63	'[x^2, x^3*y, 1]'	3
64	'[y^2, x^3*y, 1]'	3
65	'[x, x^3*y, 1]'	3
66	'[y, x^3*y, 1]'	3
67	'[x*y, x^3*y, 1]'	3
68	'[x^2*y^2, x^3*y, 1]'	3
69	'[x^3*y^3, x^3*y, 1]'	3
70	'[x^2*y, x^3*y, 1]'	3
71	'[x^3, x*y^2, 1]'	3
72	'[y^3, x*y^2, 1]'	3
73	'[x^2, x*y^2, 1]'	3
74	'[y^2, x*y^2, 1]'	3
75	'[x, x*y^2, 1]'	3
76	'[y, x*y^2, 1]'	3
77	'[x*y, x*y^2, 1]'	3
78	'[x^2*y^2, x*y^2, 1]'	3
79	'[x^3*y^3, x*y^2, 1]'	3
80	'[x^2*y, x*y^2, 1]'	3
81	'[x^3*y, x*y^2, 1]'	3
82	'[x^3, x*y^3, 1]'	3
83	'[y^3, x*y^3, 1]'	3
84	'[x^2, x*y^3, 1]'	3
85	'[y^2, x*y^3, 1]'	3
86	'[x, x*y^3, 1]'	3
87	'[y, x*y^3, 1]'	3
88	'[x*y, x*y^3, 1]'	3
89	'[x^2*y^2, x*y^3, 1]'	3
90	'[x^3*y^3, x*y^3, 1]'	3
91	'[x^2*y, x*y^3, 1]'	3
92	'[x^3*y, x*y^3, 1]'	3
93	'[x*y^2, x*y^3, 1]'	3
94	'[x^3, x^2*y^3, 1]'	3
95	'[y^3, x^2*y^3, 1]'	3
96	'[x^2, x^2*y^3, 1]'	3
97	'[y^2, x^2*y^3, 1]'	3
98	'[x, x^2*y^3, 1]'	3
99	'[y, x^2*y^3, 1]'	3
100	'[x*y, x^2*y^3, 1]'	3
101	'[x^2*y^2, x^2*y^3, 1]'	3
102	'[x^3*y^3, x^2*y^3, 1]'	3
103	'[x^2*y, x^2*y^3, 1]'	3
104	'[x^3*y, x^2*y^3, 1]'	3
105	'[x*y^2, x^2*y^3, 1]'	3
106	'[x*y^3, x^2*y^3, 1]'	3
107	'[x^3, x^3*y^2, 1]'	3
108	'[y^3, x^3*y^2, 1]'	3
109	'[x^2, x^3*y^2, 1]'	3
110	'[y^2, x^3*y^2, 1]'	3
111	'[x, x^3*y^2, 1]'	3
112	'[y, x^3*y^2, 1]'	3
113	'[x*y, x^3*y^2, 1]'	3
114	'[x^2*y^2, x^3*y^2, 1]'	3
115	'[x^3*y^3, x^3*y^2, 1]'	3
116	'[x^2*y, x^3*y^2, 1]'	3
117	'[x^3*y, x^3*y^2, 1]'	3
118	'[x*y^2, x^3*y^2, 1]'	3
119	'[x*y^3, x^3*y^2, 1]'	3
120	'[x^2*y^3, x^3*y^2, 1]'	3
121	'[x^3, y^3, x^2, 1]'	4
122	'[x^3, y^3, y^2, 1]'	4
123	'[x^3, x^2, y^2, 1]'	4
124	'[y^3, x^2, y^2, 1]'	4
125	'[x^3, y^3, x, 1]'	4
126	'[x^3, x^2, x, 1]'	4
127	'[y^3, x^2, x, 1]'	4
128	'[x^3, y^2, x, 1]'	4
129	'[y^3, y^2, x, 1]'	4
130	'[x^2, y^2, x, 1]'	4
131	'[x^3, y^3, y, 1]'	4
132	'[x^3, x^2, y, 1]'	4
133	'[y^3, x^2, y, 1]'	4
134	'[x^3, y^2, y, 1]'	4
135	'[y^3, y^2, y, 1]'	4
136	'[x^2, y^2, y, 1]'	4
137	'[x^3, x, y, 1]'	4
138	'[y^3, x, y, 1]'	4
139	'[x^2, x, y, 1]'	4
140	'[y^2, x, y, 1]'	4
141	'[x^3, y^3, x*y, 1]'	4
142	'[x^3, x^2, x*y, 1]'	4
143	'[y^3, x^2, x*y, 1]'	4
